parent_email,student_id,student_idx,relationship,edge_case
parent001@pilot100.orbit.app,b1000000-0000-4000-8000-000000000011,11,guardian,three_siblings
parent001@pilot100.orbit.app,b1000000-0000-4000-8000-000000000012,12,guardian,three_siblings
parent001@pilot100.orbit.app,b1000000-0000-4000-8000-000000000013,13,guardian,three_siblings
parent002@pilot100.orbit.app,b1000000-0000-4000-8000-000000000021,21,guardian,two_siblings_same_class
parent002@pilot100.orbit.app,b1000000-0000-4000-8000-000000000022,22,guardian,two_siblings_same_class
parent003@pilot100.orbit.app,b1000000-0000-4000-8000-000000000001,1,guardian,apostrophe_surname
parent004@pilot100.orbit.app,b1000000-0000-4000-8000-000000000002,2,guardian,hyphenated_given
parent005@pilot100.orbit.app,b1000000-0000-4000-8000-000000000003,3,guardian,long_multi_part_name
parent006@pilot100.orbit.app,b1000000-0000-4000-8000-000000000004,4,guardian,single_word_name
parent007@pilot100.orbit.app,b1000000-0000-4000-8000-000000000005,5,mother,leading_trailing_spaces
parent008@pilot100.orbit.app,b1000000-0000-4000-8000-000000000006,6,guardian,unicode_and_escape
parent009@pilot100.orbit.app,b1000000-0000-4000-8000-000000000007,7,father,empty_section
parent010@pilot100.orbit.app,b1000000-0000-4000-8000-000000000008,8,guardian,non_sequential_roll
parent011@pilot100.orbit.app,b1000000-0000-4000-8000-000000000009,9,guardian,roll_without_leading_zero
parent012@pilot100.orbit.app,b1000000-0000-4000-8000-000000000010,10,mother,duplicate_common_name_a
parent013@pilot100.orbit.app,b1000000-0000-4000-8000-000000000014,14,father,single_child
parent014@pilot100.orbit.app,b1000000-0000-4000-8000-000000000015,15,mother,single_child
parent015@pilot100.orbit.app,b1000000-0000-4000-8000-000000000016,16,guardian,single_child
parent016@pilot100.orbit.app,b1000000-0000-4000-8000-000000000017,17,guardian,single_child
parent017@pilot100.orbit.app,b1000000-0000-4000-8000-000000000018,18,guardian,single_child
parent018@pilot100.orbit.app,b1000000-0000-4000-8000-000000000019,19,guardian,single_child
parent019@pilot100.orbit.app,b1000000-0000-4000-8000-000000000020,20,mother,single_child
parent020@pilot100.orbit.app,b1000000-0000-4000-8000-000000000023,23,guardian,single_child
parent021@pilot100.orbit.app,b1000000-0000-4000-8000-000000000024,24,guardian,single_child
parent022@pilot100.orbit.app,b1000000-0000-4000-8000-000000000025,25,mother,single_child
parent023@pilot100.orbit.app,b1000000-0000-4000-8000-000000000026,26,guardian,single_child
parent024@pilot100.orbit.app,b1000000-0000-4000-8000-000000000027,27,guardian,single_child
parent025@pilot100.orbit.app,b1000000-0000-4000-8000-000000000028,28,father,single_child
parent026@pilot100.orbit.app,b1000000-0000-4000-8000-000000000029,29,guardian,single_child
parent027@pilot100.orbit.app,b1000000-0000-4000-8000-000000000030,30,mother,no_fees
parent028@pilot100.orbit.app,b1000000-0000-4000-8000-000000000031,31,guardian,all_fees_paid
parent029@pilot100.orbit.app,b1000000-0000-4000-8000-000000000032,32,guardian,overdue_fees
parent030@pilot100.orbit.app,b1000000-0000-4000-8000-000000000033,33,guardian,pending_utr
parent031@pilot100.orbit.app,b1000000-0000-4000-8000-000000000034,34,guardian,single_child
parent032@pilot100.orbit.app,b1000000-0000-4000-8000-000000000035,35,father,single_child
parent033@pilot100.orbit.app,b1000000-0000-4000-8000-000000000036,36,guardian,single_child
parent034@pilot100.orbit.app,b1000000-0000-4000-8000-000000000037,37,guardian,single_child
parent035@pilot100.orbit.app,b1000000-0000-4000-8000-000000000038,38,guardian,single_child
